USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.0  23552 14132 ?        Ss   13:32   0:05 /sbin/init splash
root         856  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/10:2-events]
root         903  0.1  0.0      0     0 ?        S    13:32   0:02 [nvidia-modeset/kthread_q]
root         904  0.0  0.0      0     0 ?        S    13:32   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         952  1.6  0.0      0     0 ?        S    13:32   0:25 [irq/84-nvidia]
root         953  0.0  0.0      0     0 ?        S    13:32   0:00 [nvidia]
root         954  0.0  0.0      0     0 ?        S    13:32   0:00 [nv_queue]
root        1029  0.0  0.0      0     0 ?        I<   13:32   0:00 [kworker/u65:2-hci0]
root        1030  0.0  0.0      0     0 ?        S    13:32   0:01 [mt76-tx phy0]
avahi       1070  0.0  0.0   8752  4156 ?        Ss   13:32   0:00 avahi-daemon: running [legend-27-27-pc.local]
root        1071  0.0  0.0  13572  5916 ?        Ss   13:32   0:00 /usr/libexec/bluetooth/bluetoothd
message+    1072  0.2  0.0  12580  6720 ?        Ss   13:32   0:04 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1076  0.0  0.0 439208 15700 ?        Ssl  13:32   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1084  0.1  0.0 385632 11184 ?        Ssl  13:32   0:01 /usr/lib/polkit-1/polkitd --no-debug
root        1093  0.0  0.1 2436300 31212 ?       Ssl  13:32   0:00 /usr/lib/snapd/snapd
root        1098  0.0  0.0 313372  6860 ?        Ssl  13:32   0:00 /usr/libexec/accounts-daemon
root        1102  0.0  0.0   9424  2560 ?        Ss   13:32   0:00 /usr/sbin/cron -f -P
root        1104  0.0  0.0 309828  6324 ?        Ssl  13:32   0:00 /usr/libexec/switcheroo-control
root        1111  0.0  0.0  18180  8904 ?        Ss   13:32   0:00 /usr/lib/systemd/systemd-logind
root        1113  0.0  0.0  17588  7552 ?        Ss   13:32   0:00 /usr/lib/systemd/systemd-machined
root        1118  0.0  0.0 469420 12748 ?        Ssl  13:32   0:00 /usr/libexec/udisks2/udisksd
root        1119  0.0  0.0  73876 14980 ?        Ss   13:32   0:00 /usr/sbin/virtlockd
root        1131  0.0  0.0  73880 14672 ?        Ss   13:32   0:00 /usr/sbin/virtlogd
avahi       1183  0.0  0.0   8480  1256 ?        S    13:32   0:00 avahi-daemon: chroot helper
root        1197  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/u64:5-iou_exit]
root        1199  0.1  0.1 337296 19800 ?        Ssl  13:32   0:03 /usr/sbin/NetworkManager --no-daemon
root        1209  0.0  0.0  18428 11160 ?        Ss   13:32   0:01 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1262  0.0  0.0 222568  5608 ?        Ssl  13:32   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1311  0.0  0.0      0     0 ?        S    13:32   0:00 [UVM global queue]
root        1312  0.0  0.0      0     0 ?        S    13:32   0:00 [UVM deferred release queue]
root        1313  0.0  0.0      0     0 ?        S    13:32   0:00 [UVM Tools Event Queue]
nvidia-+    1348  0.0  0.0   5372  1984 ?        Ss   13:32   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1349  0.0  0.0 392092 11656 ?        Ssl  13:32   0:00 /usr/sbin/ModemManager
root        1463  0.0  0.0  38204 11076 ?        Ss   13:32   0:00 /usr/sbin/cupsd -l
iperf3      1464  0.0  0.0   9036  3484 ?        Ss   13:32   0:00 /usr/bin/iperf3 --server --interval 0
root        1473  0.0  0.1 112264 22852 ?        Ssl  13:32   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1512  0.0  0.0 314816  8904 ?        Ssl  13:32   0:00 /usr/sbin/gdm3
rtkit       1563  0.0  0.0  22940  3236 ?        SNsl 13:32   0:00 /usr/libexec/rtkit-daemon
libvirt+    1675  0.0  0.0  11484  2064 ?        S    13:32   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        1676  0.0  0.0  11484  1124 ?        S    13:32   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        1711  0.0  0.0      0     0 ?        S<   13:32   0:00 [krfcommd]
colord      1835  0.0  0.0 320176 13816 ?        Ssl  13:32   0:00 /usr/libexec/colord
root        1886  0.0  0.0 317336  9040 ?        Ssl  13:32   0:00 /usr/libexec/upowerd
root        2160  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/6:2-events]
root        2187  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/8:2-cgroup_destroy]
root        3301  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/u64:7-iou_exit]
cups-br+    4073  0.0  0.1 268480 19728 ?        Ssl  13:33   0:00 /usr/sbin/cups-browsed
kernoops    4075  0.0  0.0  12744  2224 ?        Ss   13:33   0:00 /usr/sbin/kerneloops --test
kernoops    4078  0.0  0.0  12744  2116 ?        Ss   13:33   0:00 /usr/sbin/kerneloops
root        4110  0.0  0.0      0     0 ?        I    13:33   0:00 [kworker/u64:8-iou_exit]
root        4875  0.0  0.2 480540 42360 ?        Ssl  13:34   0:00 /usr/libexec/fwupd/fwupd
root        5755  0.0  0.0      0     0 ?        S    13:36   0:00 [psimon]
root        6187  0.0  0.0      0     0 ?        I    13:37   0:00 [kworker/9:0]
root        6257  0.0  0.0      0     0 ?        I    13:38   0:00 [kworker/1:0-events]
root        6386  0.0  0.0      0     0 ?        I    13:40   0:00 [kworker/13:0-events]
root        7014  0.0  0.0      0     0 ?        I<   13:46   0:00 [kworker/R-ib-comp-wq]
root        7015  0.0  0.0      0     0 ?        I<   13:46   0:00 [kworker/R-ib-comp-unb-wq]
root        7017  0.0  0.0      0     0 ?        I<   13:46   0:00 [kworker/R-ib_mcast]
root        7018  0.0  0.0      0     0 ?        I<   13:46   0:00 [kworker/R-ib_nl_sa_wq]
root        8754  0.0  0.0      0     0 ?        I    13:46   0:00 [kworker/0:0-events]
root        8789  0.0  0.0      0     0 ?        I    13:47   0:00 [kworker/2:0-events]
root        9053  0.0  0.0      0     0 ?        I    13:50   0:00 [kworker/4:3-cgroup_destroy]
root       11147  0.0  0.0      0     0 ?        I    13:53   0:00 [kworker/13:1-events]
root       11588  0.0  0.0      0     0 ?        I    13:55   0:00 [kworker/u64:3-iou_exit]
root       13155  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/15:1-events]
root       13209  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/9:1-events]
root       13210  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/5:2-events]
root       13211  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/2:1-events]
root       13261  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/8:0]
root       13262  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/8:3-events]
root       13277  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/14:1-cgroup_destroy]
root       13278  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/14:3-events]
root       13308  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/3:0]
root       13328  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/4:0-cgroup_destroy]
root       13736  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/12:0-cgroup_destroy]
root       13856  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:4-iou_exit]
root       13857  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:6-writeback]
root       14060  0.0  0.1 375196 20332 ?        Ssl  13:56   0:00 /usr/libexec/packagekitd
root       14488  0.0  0.0 242588 10216 ?        Sl   13:56   0:00 gdm-session-worker [pam/gdm-password]
root       14651  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:9-iou_exit]
root       14652  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:10-iou_exit]
root       14653  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/11:0-rcu_gp]
root       14654  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:11-iou_exit]
root       14655  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:12-iou_exit]
root       14656  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:13-iou_exit]
root       14657  0.1  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:14-gid-cache-wq]
root       14658  0.1  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:15-ext4-rsv-conversion]
root       14659  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:16-flush-259:0]
root       14660  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/11:3-events]
root       14661  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:17-ext4-rsv-conversion]
root       14662  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:18-flush-259:0]
root       14663  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:19-flush-259:0]
root       14664  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:20-flush-259:0]
root       14665  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:21-ext4-rsv-conversion]
root       14666  0.1  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:22-flush-259:0]
root       14667  0.2  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:23-events_unbound]
root       14668  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:24-flush-259:0]
root       14669  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/u64:25]
